;pousos;decolagens;movimentacao_total
AEROPORTO ESTADUAL DE BAURU-AREALVA / MOUSSA NAKHL TOBIAS - AREALVA - SP - BRASIL;6;11;17
BLUMENAU - BLUMENAU - SC - BRASIL;7;5;12
ÓBIDOS - ÓBIDOS - PA - BRASIL;4;4;8
FORMOSA - FORMOSA - GO - BRASIL;3;3;6
FAZENDA PAMPLONA - CRISTALINA - GO - BRASIL;3;3;6
POUSADA AMAZON ROOSEVELT - NOVO ARIPUANÃ - AM - BRASIL;3;3;6
ANGRA DOS REIS - ANGRA DOS REIS - RJ - BRASIL;3;3;6
CAMPO DE MARTE - SÃO PAULO - SP - BRASIL;3;3;6
UMBERTO MODIANO - ARMAÇÃO DOS BÚZIOS - RJ - BRASIL;2;2;4
FAZENDA SANTO AMBROSIO - CHAVES - PA - BRASIL;2;2;4
TANGARÁ DA SERRA - TANGARÁ DA SERRA - MT - BRASIL;2;2;4
ESTADUAL ARTHUR SIQUEIRA - BRAGANÇA PAULISTA - SP - BRASIL;2;2;4
CORONEL AVIADOR CARLOS ORLEANS GUIMARÃES - FERNANDÓPOLIS - SP - BRASIL;1;2;3
MARICÁ - MARICÁ - RJ - BRASIL;1;1;2
FRANCISCO DE ASSIS - JUIZ DE FORA - MG - BRASIL;1;1;2
ESTANCIA SANTO ANTONIO - SANTO ANTÔNIO DO LEVERGER - MT - BRASIL;1;1;2
CAMPO FONTENELLE/ACADEMIA DA FORÇA AÉREA - PIRASSUNUNGA - SP - BRASIL;1;1;2
GASTÃO MADEIRA - UBATUBA - SP - BRASIL;1;0;1
PONTA PELADA  - MANAUS - AM - BRASIL;0;1;1
BACACHERI - CURITIBA - PR - BRASIL;1;0;1
